ID;pesel;imie;nazwisko;adres;klasa;powiazanie;uzytkownik
382;67785160892;MARTYNA;TOMCZAK;przykladowyadres;16;382;1244
383;39436112425;KRZYSZTOF;KALINOWSKI;przykladowyadres;12;383;1247
384;81517497872;KRYSTIAN;KOWALEWSKI;przykladowyadres;08;384;1250
385;20171917640;WIES£AWA;KACZMAREK;przykladowyadres;09;385;1253
386;89323007230;STEFAN;URBA—SKI;przykladowyadres;04;386;1256
387;23098286544;DOROTA;CZERWI—SKA;przykladowyadres;14;387;1259
388;63641621368;MI£OSZ;GRABOWSKI;przykladowyadres;01;388;1262
389;12236924389;SZYMON;KOPE∆;przykladowyadres;13;389;1265
390;42897089686;ZDZIS£AW;CZERWI—SKI;przykladowyadres;12;390;1268
391;24229959792;PATRYCJA;GRZELAK;przykladowyadres;02;391;1271
392;81715868473;MARIOLA;LASKOWSKA;przykladowyadres;16;392;1274
393;58189743713;SANDRA;ZALEWSKA;przykladowyadres;01;393;1277
394;92260933155;STANIS£AWA;CZARNECKA;przykladowyadres;05;394;1280
395;35280374691;MARZENA;KUBIAK;przykladowyadres;11;395;1283
396;86545489936;BOGUS£AWA;SOWA;przykladowyadres;09;396;1286
397;31271967624;MARIOLA;NAWROCKA;przykladowyadres;13;397;1289
398;19319176633;LUDWIK;BUKOWSKI;przykladowyadres;05;398;1292
399;54869937574;MI£OSZ;MA£ECKI;przykladowyadres;05;399;1295
400;31134503653;GABRIELA;DUDEK;przykladowyadres;01;400;1298
401;62911018236;DANIEL;PAJ•K;przykladowyadres;15;401;1301
402;93476621582;ARKADIUSZ;ZALEWSKI;przykladowyadres;02;402;1304
403;32241320758;OLIWIER;KOPE∆;przykladowyadres;11;403;1307
404;55647709829;ADRIAN;WOJCIECHOWSKI;przykladowyadres;01;404;1310
405;18557016270;MIROS£AW;KAèMIERCZAK;przykladowyadres;11;405;1313
406;29826818291;OLGA;SZCZEPA—SKA;przykladowyadres;12;406;1316
407;63205217157;JERZY;MAKOWSKI;przykladowyadres;01;407;1319
408;93334382918;BARTOSZ;JANKOWSKI;przykladowyadres;07;408;1322
409;19386756056;AMELIA;SOCHA;przykladowyadres;06;409;1325
410;47705181489;WIKTORIA;MATUSZEWSKA;przykladowyadres;15;410;1328
411;46285528917;JOLANTA;KOWALSKA;przykladowyadres;07;411;1331
412;98426234708;MARZENA;GAJEWSKA;przykladowyadres;08;412;1334
413;92900938821;GRZEGORZ;LIPI—SKI;przykladowyadres;07;413;1337
414;34159114036;KRZYSZTOF;WAWRZYNIAK;przykladowyadres;15;414;1340
415;21827408164;GENOWEFA;GRABOWSKA;przykladowyadres;11;415;1343
416;66655236159;DARIUSZ;WILK;przykladowyadres;14;416;1346
417;94401832865;LEON;SZCZEPA—SKI;przykladowyadres;06;417;1349
418;16720817202;JANUSZ;KUCHARSKI;przykladowyadres;06;418;1352
419;13732725157;ZYGMUNT;KOWALIK;przykladowyadres;09;419;1355
420;88932717842;STANIS£AWA;D•BROWSKA;przykladowyadres;13;420;1358
421;25229742548;EWA;WAWRZYNIAK;przykladowyadres;03;421;1361
422;33371822974;SYLWIA;KANIA;przykladowyadres;06;422;1364
423;47821912242;SYLWIA;MARKOWSKA;przykladowyadres;09;423;1367
424;21508546774;BEATA;PIOTROWSKA;przykladowyadres;11;424;1370
425;61309385092;KAMILA;KRUK;przykladowyadres;08;425;1373
426;96232146423;CECYLIA;ZALEWSKA;przykladowyadres;11;426;1376
427;84845394931;IZABELA;MICHALIK;przykladowyadres;05;427;1379
428;47728735871;DARIUSZ;SOCHA;przykladowyadres;08;428;1382
429;96987245486;RENATA;MAJCHRZAK;przykladowyadres;16;429;1385
430;68953121165;J”ZEFA;LESZCZY—SKA;przykladowyadres;16;430;1388
431;10295768814;MAKSYMILIAN;B£ASZCZYK;przykladowyadres;12;431;1391
432;27964197619;ALICJA;MALINOWSKA;przykladowyadres;08;432;1394
433;19499305899;ZBIGNIEW;ZAKRZEWSKI;przykladowyadres;05;433;1397
434;38937831982;LIDIA;KOT;przykladowyadres;02;434;1400
435;71762589847;ARTUR;KAMI—SKI;przykladowyadres;08;435;1403
436;18532194606;WIKTOR;ZALEWSKI;przykladowyadres;06;436;1406
437;49650068577;OLGA;ROGOWSKA;przykladowyadres;02;437;1409
438;61767156749;ZENON;PAWLIK;przykladowyadres;14;438;1412
439;68286894968;AGNIESZKA;DZIEDZIC;przykladowyadres;02;439;1415
440;70835663853;TERESA;MARCINIAK;przykladowyadres;14;440;1418
441;74446805413;MICHALINA;CHMIELEWSKA;przykladowyadres;11;441;1421
442;38457482204;MAREK;JAROSZ;przykladowyadres;01;442;1424
443;15726261992;S£AWOMIR;KALINOWSKI;przykladowyadres;13;443;1427
444;84856443538;JANINA;KOWALIK;przykladowyadres;11;444;1430
445;83810909789;ANGELIKA;KOWALIK;przykladowyadres;08;445;1433
446;98536256298;KACPER;DOMA—SKI;przykladowyadres;10;446;1436
447;79776937976;MAKSYMILIAN;CZARNECKI;przykladowyadres;02;447;1439
448;90355425361;KRYSTIAN;GAJEWSKI;przykladowyadres;16;448;1442
449;51515188508;MARIA;URBAN;przykladowyadres;03;449;1445
450;34924416985;KRYSTYNA;MICHALSKA;przykladowyadres;10;450;1448
451;54846305302;SYLWESTER;KONIECZNY;przykladowyadres;03;451;1451
452;55536673746;JAN;DOMAGA£A;przykladowyadres;04;452;1454
453;56023744131;KAROL;KR”L;przykladowyadres;14;453;1457
454;81783014983;WAC£AW;JASTRZ BSKI;przykladowyadres;05;454;1460
455;32187174240;DAMIAN;MACIEJEWSKI;przykladowyadres;15;455;1463
456;15284595104;RADOS£AW;KUROWSKI;przykladowyadres;02;456;1466
457;61120490241;JANINA;BEDNAREK;przykladowyadres;07;457;1469
458;25606992085;MARIOLA;SADOWSKA;przykladowyadres;03;458;1472
459;23894245310;ZOFIA;MAJEWSKA;przykladowyadres;15;459;1475
460;73742765542;GRAØYNA;DOMAGA£A;przykladowyadres;11;460;1478
461;81357918360;IRENEUSZ;PIASECKI;przykladowyadres;03;461;1481
462;92253940422;ARKADIUSZ;WOJCIECHOWSKI;przykladowyadres;05;462;1484
463;90961661117;URSZULA;KR”L;przykladowyadres;01;463;1487
464;26608083701;GRAØYNA;SZCZEPA—SKA;przykladowyadres;09;464;1490
465;76900543588;MARCEL;RATAJCZAK;przykladowyadres;14;465;1493
466;31550112414;IWONA;WALCZAK;przykladowyadres;11;466;1496
467;76704558298;WERONIKA;BARANOWSKA;przykladowyadres;08;467;1499
468;62119760885;J”ZEFA;£UCZAK;przykladowyadres;15;468;1502
469;42078508421;JADWIGA;B•K;przykladowyadres;14;469;1505
470;35582014652;PATRYK;KACZMARCZYK;przykladowyadres;11;470;1508
471;50651286490;PIOTR;KOZ£OWSKI;przykladowyadres;10;471;1511
472;23577101082;ANNA;WESO£OWSKA;przykladowyadres;10;472;1514
473;35871096402;FRANCISZKA;W”JTOWICZ;przykladowyadres;08;473;1517
474;13360618549;ALEKSANDRA;D•BROWSKA;przykladowyadres;03;474;1520
475;65615031965;DANIEL;PIOTROWSKI;przykladowyadres;16;475;1523
476;63104459464;DOMINIKA;BARA—SKA;przykladowyadres;01;476;1526
477;47346326102;JUSTYNA;J”èWIAK;przykladowyadres;09;477;1529
478;28375771831;WIKTORIA;ZAWADZKA;przykladowyadres;10;478;1532
479;73228114922;MARCEL;BOROWSKI;przykladowyadres;02;479;1535
480;68837780497;MARIUSZ;ZI BA;przykladowyadres;03;480;1538
