ID;imie;nazwisko;nr_telefonu;powiazanie;uzytkownik
552;ROZALIA;KASPRZAK;680649193;276;928
553;OSKAR;MACIEJEWSKA;694553317;277;930
554;DOMINIKA;MACIEJEWSKA;648881098;277;931
555;LEON;MARKIEWICZ;661703147;278;933
556;KATARZYNA;MARKIEWICZ;684206222;278;934
557;KONRAD;ZALEWSKA;608802543;279;936
558;WIKTORIA;ZALEWSKA;655793765;279;937
559;KRYSTIAN;BEDNARCZYK;636243246;280;939
560;LEOKADIA;BEDNARCZYK;605573607;280;940
561;EDWARD;KOWALIK;650711427;281;942
562;GRAØYNA;KOWALIK;648395864;281;943
563;OSKAR;WALCZAK;674370489;282;945
564;IRENA;WALCZAK;604159996;282;946
565;HUBERT;GAJDA;653269948;283;948
566;EUGENIA;GAJDA;620385240;283;949
567;JANUSZ;W£ODARCZYK;682995678;284;951
568;J”ZEFA;W£ODARCZYK;640853261;284;952
569;MACIEJ;KOWAL;648453155;285;954
570;LEOKADIA;KOWAL;601804330;285;955
571;S£AWOMIR;MAZUREK;635733369;286;957
572;FRANCISZKA;MAZUREK;683531906;286;958
573;WIKTOR;GRZELAK;698169515;287;960
574;BEATA;GRZELAK;648086183;287;961
575;SYLWESTER;WRONA;601852254;288;963
576;WIKTORIA;WRONA;657276734;288;964
577;RADOS£AW;JASTRZ BSKI;688943910;289;966
578;DOROTA;JASTRZ BSKI;694320134;289;967
579;MARIUSZ;MATUSZEWSKI;613752891;290;969
580;EUGENIA;MATUSZEWSKI;633346892;290;970
581;JAROS£AW;PAWLAK;604192120;291;972
582;LUCYNA;PAWLAK;656775970;291;973
583;PRZEMYS£AW;RATAJCZAK;617396143;292;975
584;SYLWIA;RATAJCZAK;639036790;292;976
585;KACPER;SROKA;607021377;293;978
586;MARIOLA;SROKA;613021400;293;979
587;WIES£AW;MUCHA;621243197;294;981
588;ILONA;MUCHA;654000297;294;982
589;CEZARY;WILCZY—SKA;634266003;295;984
590;STEFANIA;WILCZY—SKA;624818253;295;985
591;RYSZARD;NOWAKOWSKA;614106485;296;987
592;MAGDALENA;NOWAKOWSKA;682584427;296;988
593;IRENEUSZ;G”RECKI;674481363;297;990
594;AMELIA;G”RECKI;684481828;297;991
595;DOMINIK;CIEåLAK;695229321;298;993
596;JOLANTA;CIEåLAK;602447750;298;994
597;NORBERT;J”èWIAK;683729380;299;996
598;ROZALIA;J”èWIAK;696174459;299;997
599;OLIWIER;MICHALIK;677824929;300;999
600;LAURA;MICHALIK;656712265;300;1000
601;MARIUSZ;WR”BLEWSKI;614328601;301;1002
602;ANIELA;WR”BLEWSKI;662532578;301;1003
603;ARTUR;SROKA;628328113;302;1005
604;NATALIA;SROKA;657755711;302;1006
605;KRZYSZTOF;DUDA;676357965;303;1008
606;NIKOLA;DUDA;662175901;303;1009
607;ADRIAN;BRZEZI—SKI;688515767;304;1011
608;ALICJA;BRZEZI—SKI;652117858;304;1012
609;MICHA£;KACZMAREK;684179506;305;1014
610;NIKOLA;KACZMAREK;669606382;305;1015
611;J”ZEF;ZAJ•C;651318634;306;1017
612;£UCJA;ZAJ•C;688155172;306;1018
613;FILIP;SAWICKA;628758678;307;1020
614;DOMINIKA;SAWICKA;649011142;307;1021
615;PIOTR;WASILEWSKI;614199744;308;1023
616;KAROLINA;WASILEWSKI;648532035;308;1024
617;MIROS£AW;B£ASZCZYK;680127372;309;1026
618;MARTA;B£ASZCZYK;670160943;309;1027
619;JERZY;MALINOWSKA;630033408;310;1029
620;MARTYNA;MALINOWSKA;660305924;310;1030
621;ZDZIS£AW;KOWALCZYK;684353643;311;1032
622;KAROLINA;KOWALCZYK;668145719;311;1033
623;MAKSYMILIAN;KALINOWSKI;651825743;312;1035
624;ILONA;KALINOWSKI;612984675;312;1036
625;ARKADIUSZ;G”RECKI;613972430;313;1038
626;MARIA;G”RECKI;611388081;313;1039
627;ARKADIUSZ;WOèNIAK;628657090;314;1041
628;IRENA;WOèNIAK;693317398;314;1042
629;IGOR;SAWICKA;652891749;315;1044
630;EWELINA;SAWICKA;628031447;315;1045
631;PATRYK;åWI•TEK;692258836;316;1047
632;BEATA;åWI•TEK;691366638;316;1048
633;JAKUB;SADOWSKI;627062160;317;1050
634;LUCYNA;SADOWSKI;659574250;317;1051
635;WAC£AW;BUKOWSKI;664190825;318;1053
636;GABRIELA;BUKOWSKI;641320513;318;1054
637;ADAM;GAJEWSKI;657064438;319;1056
638;LUCYNA;GAJEWSKI;688040243;319;1057
639;PAWE£;LESZCZY—SKI;681791269;320;1059
640;J”ZEFA;LESZCZY—SKI;654431679;320;1060
641;W£ODZIMIERZ;ØAK;662203859;321;1062
642;HANNA;ØAK;616710111;321;1063
643;JAROS£AW;PAWLAK;669065162;322;1065
644;KLAUDIA;PAWLAK;650806710;322;1066
645;ZDZIS£AW;ZI BA;645713889;323;1068
646;GENOWEFA;ZI BA;641349457;323;1069
647;IRENEUSZ;WOLSKI;633410743;324;1071
648;AGNIESZKA;WOLSKI;692660438;324;1072
649;SZYMON;W”JCIK;657322835;325;1074
650;MARLENA;W”JCIK;660959943;325;1075
651;TOMASZ;MILEWSKA;689465972;326;1077
652;MAJA;MILEWSKA;629748981;326;1078
653;JACEK;MARCINIAK;625398569;327;1080
654;WIKTORIA;MARCINIAK;604521310;327;1081
655;KAZIMIERZ;SOBCZAK;676813145;328;1083
656;GRAØYNA;SOBCZAK;637279160;328;1084
657;SYLWESTER;GRABOWSKA;647962761;329;1086
658;HANNA;GRABOWSKA;648160341;329;1087
659;WITOLD;BARANOWSKI;668356767;330;1089
660;MARIOLA;BARANOWSKI;699250345;330;1090
661;LESZEK;SZCZEPANIAK;648593130;331;1092
662;WIES£AWA;SZCZEPANIAK;608063695;331;1093
663;MI£OSZ;GAJEWSKA;621914271;332;1095
664;LIDIA;GAJEWSKA;619872055;332;1096
665;ANDRZEJ;BOROWSKA;677770911;333;1098
666;MARIANNA;BOROWSKA;644153104;333;1099
667;SZYMON;ZI”£KOWSKI;614602759;334;1101
668;MAJA;ZI”£KOWSKI;662549130;334;1102
669;BOGUS£AW;CZERWI—SKA;629644843;335;1104
670;HENRYKA;CZERWI—SKA;616454305;335;1105
671;FILIP;BEDNARZ;601989975;336;1107
672;LAURA;BEDNARZ;651910456;336;1108
673;ANTONI;WIECZOREK;623985408;337;1110
674;JOLANTA;WIECZOREK;640643775;337;1111
675;KAROL;WESO£OWSKA;664063710;338;1113
676;DARIA;WESO£OWSKA;677379414;338;1114
677;EDMUND;ZIELI—SKA;607681745;339;1116
678;MICHALINA;ZIELI—SKA;600543478;339;1117
679;JACEK;OLEJNICZAK;602980446;340;1119
680;BOØENA;OLEJNICZAK;681596469;340;1120
681;JACEK;BEDNARCZYK;668383177;341;1122
682;ALICJA;BEDNARCZYK;699984765;341;1123
683;WOJCIECH;OR£OWSKA;677173628;342;1125
684;LIDIA;OR£OWSKA;615737508;342;1126
685;DAMIAN;KUROWSKI;638208005;343;1128
686;ANTONINA;KUROWSKI;657749602;343;1129
687;PIOTR;LESZCZY—SKA;602103609;344;1131
688;ELØBIETA;LESZCZY—SKA;672613739;344;1132
689;PAWE£;TOMASZEWSKI;692673221;345;1134
690;MARIOLA;TOMASZEWSKI;680847691;345;1135
691;HENRYK;KOT;668509883;346;1137
692;MA£GORZATA;KOT;686933988;346;1138
693;ALAN;PIOTROWSKI;655364865;347;1140
694;MAJA;PIOTROWSKI;633413908;347;1141
695;MIKO£AJ;ORZECHOWSKA;629876707;348;1143
696;WIKTORIA;ORZECHOWSKA;626159957;348;1144
697;KACPER;KO£ODZIEJCZYK;680726865;349;1146
698;AMELIA;KO£ODZIEJCZYK;615601694;349;1147
699;CEZARY;POLAK;620447208;350;1149
700;MARTA;POLAK;623855235;350;1150
701;MIROS£AW;RATAJCZAK;632368593;351;1152
702;HALINA;RATAJCZAK;688356172;351;1153
703;MARIAN;KOWALEWSKI;626322452;352;1155
704;WERONIKA;KOWALEWSKI;654116876;352;1156
705;RADOS£AW;MAJCHRZAK;606147789;353;1158
706;JOLANTA;MAJCHRZAK;648851065;353;1159
707;SEBASTIAN;WESO£OWSKI;662413463;354;1161
708;GABRIELA;WESO£OWSKI;632973886;354;1162
709;MARCEL;RYBAK;644181115;355;1164
710;SABINA;RYBAK;688303325;355;1165
711;BARTOSZ;K DZIERSKI;612217513;356;1167
712;GENOWEFA;K DZIERSKI;619884014;356;1168
713;ZENON;WAWRZYNIAK;653594743;357;1170
714;WERONIKA;WAWRZYNIAK;623321939;357;1171
715;IRENEUSZ;KOWAL;669881618;358;1173
716;ZUZANNA;KOWAL;609538050;358;1174
717;ADAM;URBAN;669645649;359;1176
718;DARIA;URBAN;637571512;359;1177
719;EUGENIUSZ;ZAWADZKI;667233630;360;1179
720;ANTONINA;ZAWADZKI;655010412;360;1180
721;JERZY;MADEJ;634054090;361;1182
722;BOGUS£AWA;MADEJ;691061935;361;1183
723;NIKODEM;ZAKRZEWSKI;662249246;362;1185
724;IRENA;ZAKRZEWSKI;644442308;362;1186
725;JAN;BORKOWSKA;607585173;363;1188
726;EUGENIA;BORKOWSKA;660699440;363;1189
727;DAWID;B£ASZCZYK;645196047;364;1191
728;BRONIS£AWA;B£ASZCZYK;609781220;364;1192
729;DANIEL;ZAKRZEWSKA;678743693;365;1194
730;GRAØYNA;ZAKRZEWSKA;660528278;365;1195
731;BARTOSZ;JASTRZ BSKA;678930379;366;1197
732;AMELIA;JASTRZ BSKA;612264901;366;1198
733;JAN;LEåNIAK;696592456;367;1200
734;ALINA;LEåNIAK;634376602;367;1201
735;MIROS£AW;WIECZOREK;651246291;368;1203
736;ZOFIA;WIECZOREK;644810525;368;1204
737;ALAN;ORZECHOWSKI;658414025;369;1206
738;KAZIMIERA;ORZECHOWSKI;645096115;369;1207
739;IGNACY;WIECZOREK;632370023;370;1209
740;LIDIA;WIECZOREK;639598824;370;1210
741;ZBIGNIEW;WAWRZYNIAK;691895185;371;1212
742;LEOKADIA;WAWRZYNIAK;619662056;371;1213
743;SEBASTIAN;MAKOWSKA;662287679;372;1215
744;DARIA;MAKOWSKA;621642208;372;1216
745;ADRIAN;MR”Z;617859874;373;1218
746;JOLANTA;MR”Z;649108074;373;1219
747;BOGUS£AW;STEFA—SKI;662371367;374;1221
748;ILONA;STEFA—SKI;655214456;374;1222
749;MIECZYS£AW;£UKASIK;645993205;375;1224
750;JULIA;£UKASIK;693754749;375;1225
751;LECH;SZYMA—SKA;651877397;376;1227
752;ANIELA;SZYMA—SKA;621016867;376;1228
753;JAROS£AW;JANKOWSKI;619852368;377;1230
754;AMELIA;JANKOWSKI;681140989;377;1231
755;ARKADIUSZ;URBAN;683218300;378;1233
756;OLIWIA;URBAN;606642684;378;1234
757;MIECZYS£AW;SADOWSKA;672578014;379;1236
758;JUSTYNA;SADOWSKA;617936913;379;1237
759;IRENEUSZ;OWCZAREK;661969296;380;1239
760;AMELIA;OWCZAREK;677637357;380;1240
761;DOMINIK;KALINOWSKI;668375011;381;1242
762;DARIA;KALINOWSKI;636885286;381;1243
763;PRZEMYS£AW;TOMCZAK;659337445;382;1245
764;KAZIMIERA;TOMCZAK;638119631;382;1246
765;JACEK;KALINOWSKI;606421905;383;1248
766;JUSTYNA;KALINOWSKI;654293960;383;1249
767;BRONIS£AW;KOWALEWSKI;685971673;384;1251
768;JOANNA;KOWALEWSKI;686658316;384;1252
769;MI£OSZ;KACZMAREK;631917558;385;1254
770;KAZIMIERA;KACZMAREK;670305624;385;1255
771;DAMIAN;URBA—SKI;685123943;386;1257
772;MIROS£AWA;URBA—SKI;690174556;386;1258
773;WIES£AW;CZERWI—SKA;694796470;387;1260
774;BOGUS£AWA;CZERWI—SKA;634079513;387;1261
775;MATEUSZ;GRABOWSKI;690172439;388;1263
776;MARLENA;GRABOWSKI;665643218;388;1264
777;EUGENIUSZ;KOPE∆;655586099;389;1266
778;ELØBIETA;KOPE∆;682824899;389;1267
779;LUDWIK;CZERWI—SKI;607478814;390;1269
780;HELENA;CZERWI—SKI;628784249;390;1270
781;MIKO£AJ;GRZELAK;690174946;391;1272
782;BOGUMI£A;GRZELAK;668019062;391;1273
783;ADAM;LASKOWSKA;697571532;392;1275
784;CZES£AWA;LASKOWSKA;667563998;392;1276
785;KACPER;ZALEWSKA;642367694;393;1278
786;LAURA;ZALEWSKA;606024399;393;1279
787;MIROS£AW;CZARNECKA;630382738;394;1281
788;SYLWIA;CZARNECKA;694515168;394;1282
789;FRANCISZEK;KUBIAK;667025236;395;1284
790;HENRYKA;KUBIAK;671897147;395;1285
791;HENRYK;SOWA;675184213;396;1287
792;HALINA;SOWA;672582937;396;1288
793;STANIS£AW;NAWROCKA;622971078;397;1290
794;JOANNA;NAWROCKA;600134345;397;1291
795;ROBERT;BUKOWSKI;681180511;398;1293
796;WANDA;BUKOWSKI;676754206;398;1294
797;ZBIGNIEW;MA£ECKI;686713297;399;1296
798;TERESA;MA£ECKI;629514042;399;1297
799;MATEUSZ;DUDEK;634687007;400;1299
800;GERTRUDA;DUDEK;619422007;400;1300
801;WIES£AW;PAJ•K;682520926;401;1302
802;GABRIELA;PAJ•K;641890798;401;1303
803;KRZYSZTOF;ZALEWSKI;697745555;402;1305
804;HENRYKA;ZALEWSKI;660657437;402;1306
805;W£ADYS£AW;KOPE∆;640502198;403;1308
806;WERONIKA;KOPE∆;680072071;403;1309
807;RADOS£AW;WOJCIECHOWSKI;625193270;404;1311
808;LENA;WOJCIECHOWSKI;609632800;404;1312
809;WAC£AW;KAèMIERCZAK;675353582;405;1314
810;HENRYKA;KAèMIERCZAK;610429588;405;1315
811;ROBERT;SZCZEPA—SKA;689165431;406;1317
812;KLAUDIA;SZCZEPA—SKA;661343978;406;1318
813;DANIEL;MAKOWSKI;679516253;407;1320
814;MARLENA;MAKOWSKI;667088777;407;1321
815;NORBERT;JANKOWSKI;670631130;408;1323
816;AMELIA;JANKOWSKI;622775204;408;1324
817;SZYMON;SOCHA;610886228;409;1326
818;JANINA;SOCHA;689260901;409;1327
819;SEBASTIAN;MATUSZEWSKA;646341982;410;1329
820;ALICJA;MATUSZEWSKA;664865271;410;1330
821;IRENEUSZ;KOWALSKA;627147513;411;1332
822;HELENA;KOWALSKA;692552094;411;1333
823;CEZARY;GAJEWSKA;629742596;412;1335
824;JULIA;GAJEWSKA;624626582;412;1336
825;MATEUSZ;LIPI—SKI;671550958;413;1338
826;ALICJA;LIPI—SKI;645676422;413;1339
827;FELIKS;WAWRZYNIAK;614592973;414;1341
828;GABRIELA;WAWRZYNIAK;649458367;414;1342
829;IGOR;GRABOWSKA;679122628;415;1344
830;ALINA;GRABOWSKA;690088444;415;1345
831;MAKSYMILIAN;WILK;628702039;416;1347
832;ANTONINA;WILK;661666694;416;1348
833;BOGDAN;SZCZEPA—SKI;624943480;417;1350
834;MONIKA;SZCZEPA—SKI;626988998;417;1351
835;JANUSZ;KUCHARSKI;625646083;418;1353
836;ZOFIA;KUCHARSKI;620632100;418;1354
837;BOLES£AW;KOWALIK;698773561;419;1356
838;WIES£AWA;KOWALIK;637444399;419;1357
839;TADEUSZ;D•BROWSKA;690790868;420;1359
840;JOANNA;D•BROWSKA;684880294;420;1360
841;FELIKS;WAWRZYNIAK;658796059;421;1362
842;LAURA;WAWRZYNIAK;661844748;421;1363
843;RADOS£AW;KANIA;601027878;422;1365
844;KATARZYNA;KANIA;646725035;422;1366
845;W£ADYS£AW;MARKOWSKA;693379600;423;1368
846;EDYTA;MARKOWSKA;634671995;423;1369
847;EDMUND;PIOTROWSKA;630196486;424;1371
848;DANUTA;PIOTROWSKA;680413080;424;1372
849;DANIEL;KRUK;688382697;425;1374
850;DOROTA;KRUK;645313525;425;1375
851;JULIAN;ZALEWSKA;600136902;426;1377
852;MARTA;ZALEWSKA;643523786;426;1378
853;MIECZYS£AW;MICHALIK;622201399;427;1380
854;ALICJA;MICHALIK;624173977;427;1381
855;ANDRZEJ;SOCHA;647851871;428;1383
856;WANDA;SOCHA;647712570;428;1384
857;ROBERT;MAJCHRZAK;633353540;429;1386
858;BOØENA;MAJCHRZAK;621261084;429;1387
859;KACPER;LESZCZY—SKA;696941355;430;1389
860;ALICJA;LESZCZY—SKA;639897811;430;1390
861;BRONIS£AW;B£ASZCZYK;664563048;431;1392
862;FRANCISZKA;B£ASZCZYK;625653706;431;1393
863;CEZARY;MALINOWSKA;601383258;432;1395
864;LIDIA;MALINOWSKA;618628525;432;1396
865;RADOS£AW;ZAKRZEWSKI;683376582;433;1398
866;AGNIESZKA;ZAKRZEWSKI;678652838;433;1399
867;MARCIN;KOT;693518459;434;1401
868;LEOKADIA;KOT;646628908;434;1402
869;KAMIL;KAMI—SKI;621895179;435;1404
870;RENATA;KAMI—SKI;643637988;435;1405
871;BARTOSZ;ZALEWSKI;696125780;436;1407
872;EDYTA;ZALEWSKI;656986796;436;1408
873;LECH;ROGOWSKA;604958248;437;1410
874;STEFANIA;ROGOWSKA;606894060;437;1411
875;PIOTR;PAWLIK;672825984;438;1413
876;ZOFIA;PAWLIK;671890959;438;1414
877;KACPER;DZIEDZIC;658770962;439;1416
878;ZOFIA;DZIEDZIC;647079423;439;1417
879;DAMIAN;MARCINIAK;615186690;440;1419
880;URSZULA;MARCINIAK;665030353;440;1420
881;FELIKS;CHMIELEWSKA;654699837;441;1422
882;ALEKSANDRA;CHMIELEWSKA;698780923;441;1423
883;JACEK;JAROSZ;655388717;442;1425
884;DOMINIKA;JAROSZ;625165709;442;1426
885;ZENON;KALINOWSKI;657223587;443;1428
886;ZUZANNA;KALINOWSKI;615486159;443;1429
887;JACEK;KOWALIK;630988426;444;1431
888;ANNA;KOWALIK;625225686;444;1432
889;KACPER;KOWALIK;601476775;445;1434
890;BARBARA;KOWALIK;606771223;445;1435
891;DANIEL;DOMA—SKI;656078466;446;1437
892;REGINA;DOMA—SKI;641222598;446;1438
893;MI£OSZ;CZARNECKI;629009995;447;1440
894;STANIS£AWA;CZARNECKI;644704394;447;1441
895;W£ODZIMIERZ;GAJEWSKI;613686137;448;1443
896;AMELIA;GAJEWSKI;623943952;448;1444
897;HENRYK;URBAN;666385977;449;1446
898;EMILIA;URBAN;622587786;449;1447
899;ADRIAN;MICHALSKA;628872081;450;1449
900;J”ZEFA;MICHALSKA;653612906;450;1450
901;ROMAN;KONIECZNY;643939531;451;1452
902;BOGUS£AWA;KONIECZNY;647907181;451;1453
903;LEON;DOMAGA£A;685890633;452;1455
904;EWA;DOMAGA£A;604041014;452;1456
905;MARIUSZ;KR”L;677003984;453;1458
906;FRANCISZKA;KR”L;622296259;453;1459
907;KRYSTIAN;JASTRZ BSKI;658184609;454;1461
908;BEATA;JASTRZ BSKI;676769180;454;1462
909;ADRIAN;MACIEJEWSKI;651657821;455;1464
910;MA£GORZATA;MACIEJEWSKI;655737050;455;1465
911;MAKSYMILIAN;KUROWSKI;695082509;456;1467
912;MAGDALENA;KUROWSKI;648259633;456;1468
913;BRONIS£AW;BEDNAREK;680229943;457;1470
914;LEOKADIA;BEDNAREK;691686363;457;1471
915;KAROL;SADOWSKA;673255089;458;1473
916;LIDIA;SADOWSKA;633135221;458;1474
917;PIOTR;MAJEWSKA;686243078;459;1476
918;LIDIA;MAJEWSKA;605533600;459;1477
919;MARIAN;DOMAGA£A;605087294;460;1479
920;EDYTA;DOMAGA£A;610428889;460;1480
921;ANDRZEJ;PIASECKI;613040960;461;1482
922;LUCYNA;PIASECKI;654763901;461;1483
923;CZES£AW;WOJCIECHOWSKI;660421554;462;1485
924;JOLANTA;WOJCIECHOWSKI;624446452;462;1486
925;STANIS£AW;KR”L;619186627;463;1488
926;MARIA;KR”L;652340180;463;1489
927;ZYGMUNT;SZCZEPA—SKA;679073743;464;1491
928;BOGUMI£A;SZCZEPA—SKA;623258957;464;1492
929;ZBIGNIEW;RATAJCZAK;614249037;465;1494
930;ANNA;RATAJCZAK;699771244;465;1495
931;IRENEUSZ;WALCZAK;626279023;466;1497
932;J”ZEFA;WALCZAK;664788488;466;1498
933;OSKAR;BARANOWSKA;611406333;467;1500
934;ALINA;BARANOWSKA;677050289;467;1501
935;ANTONI;£UCZAK;628734128;468;1503
936;MARIOLA;£UCZAK;696536872;468;1504
937;BOGDAN;B•K;667144238;469;1506
938;HANNA;B•K;606064755;469;1507
939;OLIWIER;KACZMARCZYK;641415850;470;1509
940;MARTYNA;KACZMARCZYK;601220452;470;1510
941;ZENON;KOZ£OWSKI;625760217;471;1512
942;HELENA;KOZ£OWSKI;685473635;471;1513
943;JULIAN;WESO£OWSKA;639454938;472;1515
944;MARLENA;WESO£OWSKA;618007199;472;1516
945;EDWARD;W”JTOWICZ;639668324;473;1518
946;WIKTORIA;W”JTOWICZ;640294395;473;1519
947;MARIAN;D•BROWSKA;610915348;474;1521
948;MONIKA;D•BROWSKA;675157154;474;1522
949;MAREK;PIOTROWSKI;640462583;475;1524
950;GENOWEFA;PIOTROWSKI;690708911;475;1525
951;DAMIAN;BARA—SKA;664865335;476;1527
952;CECYLIA;BARA—SKA;611549774;476;1528
953;IGNACY;J”èWIAK;607138588;477;1530
954;BRONIS£AWA;J”èWIAK;693860651;477;1531
955;ROMAN;ZAWADZKA;600590260;478;1533
956;LEOKADIA;ZAWADZKA;632793901;478;1534
957;JULIAN;BOROWSKI;676364392;479;1536
958;AGNIESZKA;BOROWSKI;645640937;479;1537
959;MIROS£AW;ZI BA;634525252;480;1539
960;MONIKA;ZI BA;674846886;480;1540
